filename,gt_label,inlier_ratio,rss
frame_00333_straight_raw.png,straight,0.6667,75.1
frame_00334_straight_raw.png,straight,0.6667,123.3
frame_00335_straight_raw.png,straight,0.5000,580.3
frame_00336_straight_raw.png,straight,1.0000,6.3
frame_00337_straight_raw.png,straight,1.0000,11.8
frame_00338_straight_raw.png,straight,0.5000,877.9
frame_00339_straight_raw.png,straight,0.7500,31.5
frame_00340_straight_raw.png,straight,0.6667,14.4
frame_00341_straight_raw.png,straight,0.7500,36.0
frame_00342_straight_raw.png,straight,0.8000,200.6
frame_00343_straight_raw.png,straight,1.0000,13.1
frame_00344_straight_raw.png,straight,0.6000,491.7
frame_00345_straight_raw.png,straight,0.6667,442.6
frame_00346_straight_raw.png,straight,0.6364,224.7
frame_00347_straight_raw.png,straight,0.7692,399.9
frame_00348_straight_raw.png,straight,0.8182,223.5
frame_00349_straight_raw.png,straight,0.6923,544.4
frame_00350_straight_raw.png,straight,0.8000,195.8
frame_00351_straight_raw.png,straight,0.7273,361.0
frame_00352_straight_raw.png,straight,0.6364,180.8
frame_00353_straight_raw.png,straight,0.8333,336.0
frame_00354_straight_raw.png,straight,0.7273,171.7
frame_00355_straight_raw.png,straight,0.6667,32206.1
frame_00356_straight_raw.png,straight,0.7692,357.2
frame_00357_straight_raw.png,straight,0.7273,397.4
frame_00358_straight_raw.png,straight,0.7000,303.9
frame_00359_straight_raw.png,straight,0.7778,154.6
frame_00360_straight_raw.png,straight,0.8571,164.8
frame_00361_straight_raw.png,straight,0.6667,66.3
frame_00362_straight_raw.png,straight,0.7273,314.9
frame_00363_straight_raw.png,straight,0.6667,304.0
frame_00364_straight_raw.png,straight,0.6364,328.7
frame_00365_straight_raw.png,straight,0.8182,264.1
frame_00366_straight_raw.png,straight,0.6667,491.0
frame_00367_straight_raw.png,straight,0.6364,297.3
frame_00368_straight_raw.png,straight,0.8000,410.2
frame_00369_straight_raw.png,straight,0.7000,251.1
frame_00370_straight_raw.png,straight,0.8182,427.7
frame_00371_straight_raw.png,straight,0.7500,319.7
frame_00372_straight_raw.png,straight,0.8182,159.5
frame_00373_straight_raw.png,straight,0.6667,221.2
frame_00374_straight_raw.png,straight,0.7000,179.1
frame_00375_straight_raw.png,straight,0.6667,254.4
frame_00376_straight_raw.png,straight,0.7778,185.1
frame_00377_straight_raw.png,straight,0.6000,1418.8
frame_00378_straight_raw.png,straight,0.7778,190.1
frame_00379_straight_raw.png,straight,0.6000,2220.1
frame_00380_straight_raw.png,straight,0.6667,149.5
frame_00381_straight_raw.png,straight,0.6250,272.3
frame_00382_straight_raw.png,straight,0.7143,84.1
frame_00383_straight_raw.png,straight,0.5556,622.9
frame_00384_straight_raw.png,straight,0.6667,91.6
frame_00385_straight_raw.png,straight,0.8333,40.5
frame_00386_straight_raw.png,straight,0.8333,54.7
frame_00387_straight_raw.png,straight,0.8333,28.0
frame_00388_straight_raw.png,straight,0.8333,41.9
frame_00389_straight_raw.png,straight,1.0000,7.7
frame_00390_straight_raw.png,straight,0.6667,108.6
frame_00391_straight_raw.png,straight,0.8000,42.6
frame_00392_straight_raw.png,straight,0.6667,98.0
frame_00393_straight_raw.png,straight,0.8000,18.2
frame_00394_straight_raw.png,straight,0.6667,99.2
frame_00395_straight_raw.png,straight,0.8000,21.5
frame_00396_straight_raw.png,straight,0.6667,91.3
frame_00397_straight_raw.png,straight,0.6000,42.4
frame_00398_straight_raw.png,straight,0.7500,20.5
frame_00399_straight_raw.png,straight,0.7500,33.0
frame_00400_straight_raw.png,straight,0.8000,112.3
frame_00401_straight_raw.png,straight,0.7143,234.2
frame_00402_straight_raw.png,straight,0.7143,230.3
frame_00403_straight_raw.png,straight,0.7000,425.0
frame_00404_straight_raw.png,straight,0.7273,29197.8
frame_00405_straight_raw.png,straight,0.6667,662.7
frame_00406_straight_raw.png,straight,0.7273,338.0
frame_00407_straight_raw.png,straight,0.8182,206.7
frame_00408_straight_raw.png,straight,0.7500,401.3
frame_00409_straight_raw.png,straight,0.8182,235.7
frame_00410_straight_raw.png,straight,0.8000,279.4
frame_00411_straight_raw.png,straight,0.7778,183.8
frame_00412_straight_raw.png,straight,0.8000,313.6
frame_00413_straight_raw.png,straight,0.8182,190.1
frame_00414_straight_raw.png,straight,0.6923,29494.4
frame_00415_straight_raw.png,straight,0.8182,209.1
frame_00416_straight_raw.png,straight,0.7500,449.2
frame_00417_straight_raw.png,straight,0.7273,276.4
frame_00418_straight_raw.png,straight,0.7000,433.4
frame_00419_straight_raw.png,straight,0.6923,331.8
frame_00420_straight_raw.png,straight,0.7273,547.8
frame_00421_straight_raw.png,straight,0.7000,293.2
frame_00422_straight_raw.png,straight,0.7000,184.4
frame_00423_straight_raw.png,straight,0.8000,282.4
frame_00424_straight_raw.png,straight,0.7000,223.8
frame_00425_straight_raw.png,straight,0.7000,407.1
frame_00426_straight_raw.png,straight,0.7500,122.1
frame_00427_straight_raw.png,straight,0.7273,340.8
frame_00428_straight_raw.png,straight,0.7500,106.2
frame_00429_straight_raw.png,straight,0.7273,331.3
frame_00430_straight_raw.png,straight,0.6000,211.9
frame_00431_straight_raw.png,straight,0.7000,274.2
frame_00432_straight_raw.png,straight,0.7778,195.0
frame_00433_straight_raw.png,straight,0.7000,349.0
frame_00434_straight_raw.png,straight,0.7778,175.2
frame_00435_straight_raw.png,straight,0.7273,385.6
frame_00436_straight_raw.png,straight,0.7500,136.4
frame_00437_straight_raw.png,straight,0.7778,271.0
frame_00438_straight_raw.png,straight,0.7500,166.2
frame_00439_straight_raw.png,straight,0.7143,82.6
frame_00440_straight_raw.png,straight,0.7778,177.9
frame_00441_straight_raw.png,straight,0.7778,139.8
frame_00442_straight_raw.png,straight,0.6250,257.1
frame_00443_straight_raw.png,straight,0.6250,192.9
frame_00444_straight_raw.png,straight,0.8182,475.4
frame_00445_straight_raw.png,straight,0.7000,315.1
frame_00446_straight_raw.png,straight,0.7000,535.6
frame_00447_straight_raw.png,straight,0.8000,327.9
frame_00448_straight_raw.png,straight,0.7000,482.9
frame_00449_straight_raw.png,straight,0.8000,336.6
frame_00450_straight_raw.png,straight,0.8333,649.5
frame_00451_straight_raw.png,straight,0.7500,348.0
frame_00452_straight_raw.png,straight,0.8182,202.7
frame_00453_straight_raw.png,straight,0.6364,356.6
frame_00454_straight_raw.png,straight,0.7000,230.6
frame_00455_straight_raw.png,straight,0.7273,493.6
frame_00456_straight_raw.png,straight,0.7273,404.2
frame_00457_straight_raw.png,straight,0.7273,653.2
frame_00458_straight_raw.png,straight,0.7000,285.1
frame_00459_straight_raw.png,straight,0.7273,546.2
frame_00460_straight_raw.png,straight,0.7000,342.9
frame_00461_straight_raw.png,straight,0.6364,601.4
frame_00462_straight_raw.png,straight,0.7273,405.3
frame_00463_straight_raw.png,straight,0.8000,205.5
frame_00464_straight_raw.png,straight,0.7000,360.1
frame_00465_straight_raw.png,straight,0.7000,227.6
frame_00466_straight_raw.png,straight,0.7000,377.4
frame_00467_straight_raw.png,straight,0.6000,261.0
frame_00468_straight_raw.png,straight,0.7500,464.3
frame_00469_straight_raw.png,straight,0.8000,283.6
frame_00470_straight_raw.png,straight,0.6000,472.8
frame_00471_straight_raw.png,straight,0.7000,286.7
frame_00472_straight_raw.png,straight,0.6000,468.2
frame_00473_straight_raw.png,straight,0.7000,352.5
frame_00474_straight_raw.png,straight,0.8000,181.1
frame_00475_straight_raw.png,straight,0.7778,249.2
frame_00476_straight_raw.png,straight,0.7778,145.1
frame_00477_straight_raw.png,straight,0.6667,269.6
frame_00478_straight_raw.png,straight,0.7500,86.1
frame_00479_straight_raw.png,straight,0.7500,205.2
frame_00480_straight_raw.png,straight,0.7143,79.6
frame_00481_straight_raw.png,straight,0.7778,326.7
frame_00482_straight_raw.png,straight,0.5556,237.2
frame_00483_straight_raw.png,straight,0.6667,548.3
frame_00484_straight_raw.png,straight,0.6000,265.2
frame_00485_straight_raw.png,straight,0.6000,659.0
frame_00486_straight_raw.png,straight,0.6000,408.9
frame_00487_straight_raw.png,straight,0.7000,295.4
frame_00488_straight_raw.png,straight,0.7273,497.0
frame_00489_straight_raw.png,straight,0.7273,296.4
frame_00490_straight_raw.png,straight,0.7273,517.5
frame_00491_straight_raw.png,straight,0.7000,263.0
frame_00492_straight_raw.png,straight,0.6364,525.1
frame_00493_straight_raw.png,straight,0.7000,195.5
frame_00494_straight_raw.png,straight,0.7273,516.3
frame_00495_straight_raw.png,straight,0.7000,356.2
frame_00496_straight_raw.png,straight,0.7273,646.3
frame_00497_straight_raw.png,straight,0.5833,24325.2
frame_00498_straight_raw.png,straight,0.5833,20430.0
frame_00499_straight_raw.png,straight,0.4615,28963.9
frame_00500_straight_raw.png,straight,0.5385,22555.5
frame_00501_straight_raw.png,straight,0.5455,26511.2
frame_00502_straight_raw.png,straight,0.6000,19943.4
